Identifier,C1,C2,C3,C4,T1,T2,T3,T4
ENSRNOG00000032991,0.329185536,0.043452787,0.030696192,0,0,0,0.088542785,0
ENSRNOG00000014269,0.210389239,0,0.523161795,0.168035755,0,0.170346231,0.37726342,0
ENSRNOG00000048239,0.314843893,0.16623871,0.822047796,0,0.167125599,0.152952129,1.863075208,0
ENSRNOG00000043828,0,0,0,0,0,0,0,0
ENSRNOG00000014289,71.2770335,49.96339843,57.2033565,42.57194656,75.65839145,80.6610621,90.96204993,80.4515341
ENSRNOG00000058260,0,0,0,0.373129901,0,0,0,0
ENSRNOG00000014399,16.03112465,10.47855069,9.180804387,7.472370726,25.65207976,24.85389001,26.82853783,24.42761633
ENSRNOG00000014806,27.98998093,16.70208073,12.84906037,9.589051804,65.41566543,49.50674088,52.9194534,50.56420431
ENSRNOG00000014797,37.05527712,20.3120125,18.10173987,14.21070055,65.41134756,61.13511449,55.90074302,49.61757732
ENSRNOG00000037835,2.4271435,1.757668418,3.426361807,1.238508434,3.086737942,1.719540905,2.312147686,2.696832087
ENSRNOG00000014956,7.387569545,4.565924789,4.524442179,2.575164538,6.854270435,6.272978325,11.70352837,4.90418839
ENSRNOG00000015295,25.87176981,17.21006975,14.16609406,9.486897147,30.64615586,26.31354043,31.98336668,28.60486635
ENSRNOG00000035608,0,0,0,0,0,0,0,0
ENSRNOG00000015408,0.560443112,0.277421234,0.418085675,0.425239227,0.632176247,0.68066246,0.263804389,0.96520972
ENSRNOG00000022720,7.867801381,4.841272805,5.034063099,2.668254757,11.79027142,10.46695334,13.69047335,12.79024905
ENSRNOG00000016034,11.68348175,7.674691255,8.988787404,5.845961759,16.38427211,14.55867697,15.04420966,14.02511949
ENSRNOG00000016361,9.147405847,5.634840471,7.332683457,2.922376175,22.27627081,21.79039783,21.88484548,23.35892439
ENSRNOG00000022414,7.433465593,2.569872792,2.039406868,1.292415501,11.71000672,9.427198333,11.42525021,9.341015821
ENSRNOG00000016754,2.860859864,1.629018385,3.243111374,2.822572705,6.848602314,4.905227662,3.545738508,5.048587418
ENSRNOG00000016886,8.493233564,5.79623815,6.034169707,4.568452422,13.87784458,10.4554388,15.46291064,11.87643001
ENSRNOG00000016913,1.158332646,0.606749814,0.497203881,0.220273466,1.63476474,2.076710502,1.780359395,1.716052167
ENSRNOG00000017129,4.493354996,1.602124409,2.311726657,0.639383399,5.483138016,5.551304026,6.911256264,4.533535521
ENSRNOG00000017188,3.739061721,3.728520262,2.728670327,1.720397709,7.065352178,6.861038723,7.761498687,5.464099888
ENSRNOG00000017248,0.910842692,0.20038676,0,0.026943735,0.179071849,0,0.136107891,0.149933286
ENSRNOG00000017409,4.317019455,1.662063837,1.635389273,0.861989933,5.907934605,3.222293149,4.838215372,3.447627343
ENSRNOG00000052510,0,0.148663554,0,0.149918264,0,0,0,0.25027419
ENSRNOG00000037793,12.15297425,4.737803239,4.110238981,1.961408509,22.64551864,24.62529284,19.73166016,22.10908677
ENSRNOG00000017856,0,0.081239077,0,0.393238699,0,0.523222471,0,0.205148238
ENSRNOG00000017996,0.135235578,0.178512182,0,0.432045149,0.717858201,0.985467887,0.545625495,1.652882954
ENSRNOG00000035455,0,0,0,0,0,0,0,0
